,name,link,min_salary,max_salary,currency,employer,site_name
39,Аналитик,https://hh.ru/vacancy/51045088?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,50000,50000,руб.,Точка,hh.ru
40,Аналитик Power BI (удаленно),https://hh.ru/vacancy/50951429?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,120000,120000,руб.,Ariadna,hh.ru
41,Аналитик в команду Careerum,https://hh.ru/vacancy/51775374?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,80,80,руб.,Careerum,hh.ru
42,Аналитик / Бизнес-аналитик,https://hh.ru/vacancy/51287074?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,200000,200000,руб.,Фонд НТИ,hh.ru
43,Инженер данных - аналитик/Junior Data Enginer /Analytic,https://hh.ru/vacancy/51286924?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,100000,100000,руб.,ООО Комета,hh.ru
44,Аналитик,https://hh.ru/vacancy/50909634?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,руб.,Sim Russia,hh.ru
45,Аналитик Power BI/стажер,https://hh.ru/vacancy/50865173?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,25000,25000,руб.,ИП Ельмикеев Евгений Иванович,hh.ru
46,Аналитик клиентских данных,https://hh.ru/vacancy/50358503?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,руб.,ООО Автоспот,hh.ru
47,Product Analyst,https://hh.ru/vacancy/50929726?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,120000,120000,руб.,igooods,hh.ru
48,Продуктовый аналитик / Product Analyst,https://hh.ru/vacancy/50526244?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,200000,200000,руб.,Юду,hh.ru
